InterimNam,Shape_Leng,Num,Section,M_Start,M_End,S_Lat,S_Long,M_Lat,M_Long,E_Lat,E_Long,Leg_Length,Leg_Height,milepost,z,Side
N_238.96_239.06,0.0988565999014,0,0,238.964981079,239.060073853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.96498107910156,462.23667339388743,North
N_239.06_239.96,0.902603447111,1,6,239.060073853,239.960174561,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,239.06007385253906,463.9303849379053,North
N_240.00_240.79,0.798393657042,2,6,239.996582031,240.787277222,43.07741023,-77.32073448,43.07791674,-77.34098872,43.07554205,-77.36102545,2.06804435466,8.6,239.99658203125,462.91603307574786,North
N_244.81_244.91,0.100808423905,3,7,244.805999756,244.90536499,43.09058444,-77.40993263,43.09070526,-77.41206422,43.09075161,-77.41419884,0.216417890279,8.1,244.80599975585938,462.78320294509757,North
N_245.39_245.40,0.011303987749,5,7,245.391159058,245.400604248,43.09125521,-77.42173061,43.09193754,-77.42346507,43.09278363,-77.42504774,0.198819775041,7.9,245.3911590576172,463.8998446566716,North
N_246.87_247.07,0.209534385815,8,7,246.872756958,247.067901611,43.10293669,-77.44347181,43.104531,-77.44980041,43.10236735,-77.45532976,0.68546820146,18.9,246.8727569580078,463.7377308493243,North
N_247.38_247.45,0.06483180435,0,0,247.38444519,247.45451355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.3844451904297,464.3136665323922,North
N_247.75_247.89,0.147359165362,9,7,247.749420166,247.894638062,43.099911,-77.456429,43.08955773,-77.4558886,43.07926028,-77.46089917,1.48863969593,30.5,247.74942016601562,464.228852242517,North
N_247.97_249.11,1.12966824109,9,7,247.971939087,249.109634399,43.099911,-77.456429,43.08955773,-77.4558886,43.07926028,-77.46089917,1.48863969593,30.5,247.97193908691406,463.4666679032431,North
N_249.15_249.46,0.306987991589,11,7,249.15335083,249.460281372,43.07869375,-77.46128352,43.0767362,-77.4627187,43.0748025,-77.464216,0.306987991476,22.0,249.15335083007812,463.43243798382684,North
N_249.49_249.81,0.31623292374,12,7,249.493972778,249.810180664,43.07435754,-77.46449471,43.0695357,-77.46801808,43.06480878,-77.47177729,0.757082177875,13.3,249.4939727783203,463.2632938600457,North
N_250.15_250.19,0.0416947433941,12,7,250.15234375,250.190887451,43.07435754,-77.46449471,43.0695357,-77.46801808,43.06480878,-77.47177729,0.757082177875,13.3,250.15234375,463.7777400970736,North
N_250.29_250.55,0.235139611051,13,7,250.29486084,250.545806885,43.06440407,-77.47233628,43.06345012,-77.4742482,43.06304475,-77.47647088,0.235139610964,46.7,250.29486083984375,463.4395594677978,North
