InterimNam,Side,milepost,z,,,,,
N_239.06_239.96,North,239.06,464.04998779296875,,,,,
N_239.06_239.96,North,239.116553,464.6600036621094,,,,,
N_239.06_239.96,North,239.122197,464.80999755859375,,,,,
N_239.06_239.96,North,239.1390549,465.30999755859375,,,,,
N_239.06_239.96,North,239.2043561,464.8900146484375,,,,,
N_239.06_239.96,North,239.2722557,464.94000244140625,,,,,
N_239.06_239.96,North,239.3443542,465.4700012207031,,,,,
N_239.06_239.96,North,239.4258693,465.4599914550781,,,,,
N_239.06_239.96,North,239.4440663,465.3500061035156,,,,,
N_239.06_239.96,North,239.4588939,465.6700134277344,,,,,
N_239.06_239.96,North,239.470447,465.3299865722656,,,,,
N_239.06_239.96,North,239.5007519,465.2300109863281,,,,,
N_239.06_239.96,North,239.5261989,465.19000244140625,,,,,
N_239.06_239.96,North,239.5282178,465,,,,,
N_239.06_239.96,North,239.5816723,464.9200134277344,,,,,
N_239.06_239.96,North,239.6415795,464.8699951171875,,,,,
N_239.06_239.96,North,239.8979981,465.8500061035156,,,,,
N_240.00_240.79,North,240,466.1300048828125,,,,,
N_240.00_240.79,North,240.23125,465.1700134277344,,,,,
N_240.00_240.79,North,240.3105871,465.19000244140625,,,,,
N_240.00_240.79,North,240.3269129,466.1700134277344,,,,,
N_240.00_240.79,North,240.378125,466.3500061035156,,,,,
N_240.00_240.79,North,240.4326515,465.5100098,,,,,
N_240.00_240.79,North,240.5850757,464.7300109863281,,,,,
N_240.00_240.79,North,240.5899243,464.94000244140625,,,,,
N_240.00_240.79,North,240.6632765,465.70001220703125,,,,,
N_240.00_240.79,North,240.7641477,465,,,,,
N_240.00_240.79,North,240.778125,464.29998779296875,,,,,
N_240.00_240.79,North,240.7920265,463.4200134277344,,,,,
N_240.00_240.79,North,240.7976515,462.9899902,,,,,
S_244.08_244.32,South,244.08,465.1099853515625,,,,,
S_244.08_244.32,South,244.1325189,464.6400146484375,,,,,
S_244.08_244.32,South,244.1431061,464.8399963378906,,,,,
S_244.08_244.32,South,244.2325189,465.1400146484375,,,,,
S_244.08_244.32,South,244.2553409,464.2099914550781,,,,,
S_244.08_244.32,South,244.2624621,464.6199951171875,,,,,
S_244.08_244.32,South,244.2792993,465.8800048828125,,,,,
S_244.08_244.32,South,244.2922348,465.5100098,,,,,
S_244.08_244.32,South,244.3093371,463.3399963378906,,,,,
N_244.81_244.91,North,244.81,463.3399963378906,,,,,
S_245.36_245.50,South,245.36,464.3699951171875,,,,,
S_245.36_245.50,South,245.37625,465.0100098,,,,,
S_245.36_245.50,South,245.4199811,464.2200012207031,,,,,
S_245.36_245.50,South,245.4225,464.1400146484375,,,,,
S_245.36_245.50,South,245.435,464.2900085449219,,,,,
S_245.36_245.50,South,245.442803,463.3999938964844,,,,,
S_245.36_245.50,South,245.4500189,464.1400146484375,,,,,
S_245.36_245.50,South,245.4593939,465.44000244140625,,,,,
S_245.36_245.50,South,245.4650379,465.2399902,,,,,
S_245.36_245.50,South,245.473447,465.3599853515625,,,,,
S_245.36_245.50,South,245.4768371,465.5,,,,,
S_245.36_245.50,South,245.4906439,466.17999267578125,,,,,
S_245.36_245.50,South,245.4906439,466.19000244140625,,,,,
S_245.36_245.50,South,245.495322,466.2099914550781,,,,,
S_245.36_245.50,South,245.4968939,466.2200012207031,,,,,
S_245.36_245.50,South,245.505303,465.95001220703125,,,,,
S_245.36_245.50,South,245.5119129,465.69000244140625,,,,,
N_246.87_247.07,North,246.87,464.6199951171875,,,,,
N_246.87_247.07,North,246.898125,464.4100036621094,,,,,
N_246.87_247.07,North,246.9268561,464.6199951171875,,,,,
N_246.87_247.07,North,246.929678,464.55999755859375,,,,,
N_246.87_247.07,North,246.9884848,464.2699890136719,,,,,
N_246.87_247.07,North,246.9893561,464.2900085449219,,,,,
N_246.87_247.07,North,247.03875,463.8599853515625,,,,,
N_246.87_247.07,North,247.0509848,463.8800048828125,,,,,
N_246.87_247.07,North,247.0666098,463.4899902,,,,,
N_247.38_247.45,North,247.38,465.7099914550781,,,,,
N_247.75_247.89,North,247.75,464.67999267578125,,,,,
N_247.75_247.89,North,247.794072,464.32000732421875,,,,,
N_247.75_247.89,North,247.843447,465.1700134277344,,,,,
N_247.75_247.89,North,247.8487879,465.17999267578125,,,,,
N_247.75_247.89,North,247.8587689,465.0299987792969,,,,,
N_247.75_247.89,North,247.8599811,464.9700012207031,,,,,
S_247.92_247.96,South,247.92,463.3999938964844,,,,,
S_247.92_247.96,South,247.9225758,463.1099853515625,,,,,
S_247.92_247.96,South,247.9264015,463.5100098,,,,,
S_247.92_247.96,South,247.9275,463.67999267578125,,,,,
S_247.92_247.96,South,247.94125,463.7200012207031,,,,,
N_247.97_249.11,North,247.97,463.6600036621094,,,,,
S_248.00_248.02,South,248,464.6300048828125,,,,,
N_247.97_249.11,North,248.20125,463.7399902,,,,,
N_247.97_249.11,North,248.6036743,464.1400146484375,,,,,
N_247.97_249.11,North,248.6925757,464.3900146484375,,,,,
N_247.97_249.11,North,248.7717235,464.3699951171875,,,,,
N_247.97_249.11,North,248.8207765,464.3800048828125,,,,,
N_247.97_249.11,North,248.888125,464.7099914550781,,,,,
S_248.94_249.07,South,248.94,463.1700134277344,,,,,
S_248.94_249.07,South,248.94625,463.4700012207031,,,,,
N_247.97_249.11,North,248.951875,464.9100036621094,,,,,
S_248.94_249.07,South,248.9534451,463.6499938964844,,,,,
N_247.97_249.11,North,248.973125,464.5100098,,,,,
N_247.97_249.11,North,248.9748485,464.6700134277344,,,,,
S_248.94_249.07,South,248.9778163,465.1099853515625,,,,,
S_248.94_249.07,South,248.9946724,463.44000244140625,,,,,
N_247.97_249.11,North,249.0026515,464,,,,,
S_248.94_249.07,South,249.0140379,463.25,,,,,
S_248.94_249.07,South,249.0177955,463.3399963378906,,,,,
S_248.94_249.07,South,249.0374811,463.4100036621094,,,,,
S_248.94_249.07,South,249.0390966,463.3800048828125,,,,,
S_248.94_249.07,South,249.0718883,463.9200134277344,,,,,
S_248.94_249.07,South,249.0890644,463.6700134277344,,,,,
N_247.97_249.11,North,249.0925,464.2699890136719,,,,,
N_249.15_249.46,North,249.15,464.7900085449219,,,,,
N_249.15_249.46,North,249.1740587,464.44000244140625,,,,,
N_249.15_249.46,North,249.1818693,464.17999267578125,,,,,
N_249.15_249.46,North,249.2065852,463.8399963378906,,,,,
N_249.15_249.46,North,249.2265417,464.05999755859375,,,,,
N_249.15_249.46,North,249.2368731,463.9200134277344,,,,,
N_249.15_249.46,North,249.2768504,463.45001220703125,,,,,
N_249.15_249.46,North,249.2869148,463.5299987792969,,,,,
N_249.15_249.46,North,249.3350341,464.0100098,,,,,
N_249.15_249.46,North,249.3853636,464.2300109863281,,,,,
N_249.15_249.46,North,249.3991174,464.2200012207031,,,,,
N_249.49_249.81,North,249.49,464.3900146484375,,,,,
N_249.49_249.81,North,249.534375,464.0799865722656,,,,,
N_249.49_249.81,North,249.5468939,463.94000244140625,,,,,
N_249.49_249.81,North,249.5800189,464.25,,,,,
N_249.49_249.81,North,249.6262879,463.5100098,,,,,
N_249.49_249.81,North,249.6531061,463.3399963378906,,,,,
N_249.49_249.81,North,249.6575379,463.4899902,,,,,
N_249.49_249.81,North,249.6637879,463.4100036621094,,,,,
N_249.49_249.81,North,249.6892993,464.0299987792969,,,,,
N_249.49_249.81,North,249.6916477,464.1600036621094,,,,,
N_249.49_249.81,North,249.6981629,464.25,,,,,
N_249.49_249.81,North,249.7200379,464.2099914550781,,,,,
N_249.49_249.81,North,249.7361743,464.42999267578125,,,,,
N_249.49_249.81,North,249.7392993,464.3999938964844,,,,,
N_249.49_249.81,North,249.7599621,464.1000061035156,,,,,
N_249.49_249.81,North,249.7799243,464.5,,,,,
N_249.49_249.81,North,249.7916477,464.3999938964844,,,,,
N_249.49_249.81,North,249.799375,464.3399963378906,,,,,
N_250.15_250.19,North,250.15,464.30999755859375,,,,,
N_250.15_250.19,North,250.159375,463.8500061035156,,,,,
N_250.15_250.19,North,250.1675,463.79998779296875,,,,,
N_250.15_250.19,North,250.18125,464.0199890136719,,,,,
N_250.29_250.55,North,250.29,464.19000244140625,,,,,
