,Shape_Leng,GlobalID,Num,STRIN,STRIN_Desc,Legacy_Nam,Section,M_Start,M_End,City_Town,County,S_Lat,S_Long,M_Lat,M_Long,E_Lat,E_Long,Leg_Length,Leg_Height,Haz_Class,Haz_Rating,Side,Type,Comment,InterimNam,milepost,z
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.06007385253906,464.108422625241
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.0663299560547,464.52647165226233
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.07313537597656,465.09623225531993
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.09381103515625,466.33347008622576
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.10000610351562,466.33418120962017
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.1076202392578,466.3845370356267
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.11566162109375,466.0138922528316
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.11984252929688,465.8928085492107
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.13241577148438,465.4478695942373
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.13986206054688,465.45593896624695
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.16607666015625,465.5369701991846
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.17529296875,465.6231817016752
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.19107055664062,465.50442923920787
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.1975555419922,465.27964739261444
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.1999969482422,465.33575191173827
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.2154541015625,465.0018588617522
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.22784423828125,464.6365835665878
