Timestep,Rate,Storm,Unit,Accumulation
31DEC2023 20:00:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.0
31DEC2023 20:10:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.0
31DEC2023 20:20:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.0
31DEC2023 20:30:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.0
31DEC2023 20:40:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.0
31DEC2023 20:50:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.0
31DEC2023 21:00:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.02145
31DEC2023 21:10:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.025024999
31DEC2023 21:20:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.0286
31DEC2023 21:30:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.032175
31DEC2023 21:40:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.03575
31DEC2023 21:50:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.039325
31DEC2023 22:00:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.0429
31DEC2023 22:10:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.046475
31DEC2023 22:20:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.05005
31DEC2023 22:30:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.053625003
31DEC2023 22:40:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.0572
31DEC2023 22:50:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.060775
31DEC2023 23:00:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.06435
31DEC2023 23:10:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.067925
31DEC2023 23:20:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.0715
31DEC2023 23:30:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.075075
31DEC2023 23:40:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.07865
31DEC2023 23:50:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.082225
01JAN2024 00:00:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.0858
01JAN2024 00:10:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.089375
01JAN2024 00:20:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.09295
01JAN2024 00:30:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.096525
01JAN2024 00:40:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.100099996
01JAN2024 00:50:00,0.02145,10_sqmi_0.5PMF,Inches per Hour,0.103675
01JAN2024 01:00:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.10725
01JAN2024 01:10:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.11320833
01JAN2024 01:20:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.119166665
01JAN2024 01:30:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.125125
01JAN2024 01:40:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.13108334
01JAN2024 01:50:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.13704167
01JAN2024 02:00:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.143
01JAN2024 02:10:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.14895834
01JAN2024 02:20:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.15491667
01JAN2024 02:30:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.16087501
01JAN2024 02:40:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.16683334
01JAN2024 02:50:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.17279167
01JAN2024 03:00:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.17875001
01JAN2024 03:10:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.18470834
01JAN2024 03:20:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.19066668
01JAN2024 03:30:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.19662501
01JAN2024 03:40:00,0.03575,10_sqmi_0.5PMF,Inches per Hour,0.20258334
